,mean,std,min,max
lex_has_jailbreak,0.004651162790697674,0.0680670334456512,0.0,1.0
lex_count_jailbreak,0.007751937984496124,0.13041225026628117,0.0,3.0
lex_has_roleplay,0.004651162790697674,0.0680670334456512,0.0,1.0
lex_has_fictional,0.015503875968992248,0.123593475367079,0.0,1.0
lex_has_academic,0.006201550387596899,0.07853580366218446,0.0,1.0
lex_has_authority,0.0031007751937984496,0.05561976711885748,0.0,1.0
lex_has_emotional,0.0015503875968992248,0.03935968513160142,0.0,1.0
lex_imperative_count,0.6325581395348837,0.5761166902285669,0.0,3.0
lex_quote_count,0.10077519379844961,0.31622681513176554,0.0,2.0
lex_uppercase_ratio,0.01834710574233317,0.013670125669756169,0.00641025641025641,0.11764705882352941
lex_has_you_are,0.004651162790697674,0.0680670334456512,0.0,1.0
lex_has_hypothetical,0.0031007751937984496,0.05561976711885748,0.0,1.0
lex_has_dan,0.0015503875968992248,0.03935968513160142,0.0,1.0
str_char_count,78.63875968992248,30.336535746491244,24.0,319.0
str_word_count,12.964341085271318,5.000260636335069,4.0,57.0
str_sentence_count,1.0775193798449612,0.4133610856549364,1.0,5.0
str_avg_sentence_len,12.242015503875969,3.189593954911493,3.6666666666666665,27.0
str_avg_word_len,5.176503976630637,0.6984578438248871,3.3333333333333335,8.833333333333334
str_turn_count,1.0248062015503876,0.22143863065277114,1.0,3.0
str_is_multi_turn,0.012403100775193798,0.11071931532638557,0.0,1.0
str_has_code_block,0.0,0.0,0.0,0.0
str_has_system_format,0.0,0.0,0.0,0.0
str_special_char_ratio,0.005412502061049307,0.00995600699534874,0.0,0.05357142857142857
str_has_list,0.0,0.0,0.0,0.0
str_paragraph_count,1.0,0.0,1.0,1.0
str_question_mark_count,0.05271317829457364,0.23038319998033707,0.0,2.0
str_exclamation_count,0.0,0.0,0.0,0.0
sem_harmful_sim,0.2692556403100775,0.11570585683155458,-0.03901,0.593648
sem_benign_sim,0.12969152248062016,0.07848396030119789,-0.070276,0.391137
sem_sim_delta,0.13956413643410853,0.1289167787743379,-0.320873,0.430179
resp_char_count,697.8589147286822,1279.0078838874078,25.0,5844.0
resp_word_count,105.4922480620155,188.63666362363682,3.0,1004.0
resp_sentence_count,7.876744186046512,13.975746539306579,1.0,84.0
resp_avg_sentence_len,10.916738173971174,3.835207663020848,3.0,29.0
resp_has_refusal,0.7565891472868217,0.4293074440255855,0.0,1.0
resp_refusal_count,1.3395348837209302,0.8435782705991324,0.0,2.0
resp_has_hedge,0.3496124031007752,0.4770324661690495,0.0,1.0
resp_has_comply_signal,0.06046511627906977,0.23843900311839403,0.0,1.0
resp_starts_with_refusal,0.7542635658914729,0.43068994964932117,0.0,1.0
resp_prompt_length_ratio,9.392763565891473,17.815956998734766,0.1449,99.9216
